,Interval,CumulativePlayerPointsInterval,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints,Player,res,GameId
349,1,4.0,0,1.0,1.0,28,20,8,288.0,10368.0,25.996462241267608,101.93793577901384,113.42581083517558,A. Davis - davisan02,2.5324767519705906,1277
22619,2,4.0,0,1.0,1.0,44,41,3,72.0,1728.0,25.996462241267608,101.93793577901384,113.42581083517558,A. Davis - davisan02,-0.01768292239252833,1277
44889,3,7.0,0,1.0,1.0,62,72,-10,120.0,1440.0,25.996462241267608,101.93793577901384,113.42581083517558,A. Davis - davisan02,-1.060949712152139,1277
67159,4,14.0,0,1.0,1.0,90,99,-9,0.0,0.0,25.996462241267608,101.93793577901384,113.42581083517558,A. Davis - davisan02,-0.9797374014273146,1277
89430,0,0.0,0,2.0,2.0,0,0,0,0.0,0.0,32.2470229286153,110.05997933715922,114.92775717930034,A. Davis - davisan02,3.406601752677012,1364
350,1,6.0,0,2.0,2.0,17,37,-20,720.0,25920.0,32.2470229286153,110.05997933715922,114.92775717930034,A. Davis - davisan02,3.9078138773874946,1364
22620,2,13.0,0,2.0,2.0,41,61,-20,480.0,11520.0,32.2470229286153,110.05997933715922,114.92775717930034,A. Davis - davisan02,4.642446421309349,1364
44890,3,32.0,0,2.0,2.0,75,81,-6,72.0,864.0,32.2470229286153,110.05997933715922,114.92775717930034,A. Davis - davisan02,9.546966753268515,1364
67160,4,41.0,0,2.0,2.0,101,106,-5,0.0,0.0,32.2470229286153,110.05997933715922,114.92775717930034,A. Davis - davisan02,10.62994465746879,1364
89431,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,29.606232573258705,114.65436340211072,117.75116191221974,A. Davis - davisan02,3.65292015562327,1455
351,1,14.0,0,3.0,3.0,31,33,-2,72.0,2592.0,29.606232573258705,114.65436340211072,117.75116191221974,A. Davis - davisan02,7.042602497210557,1455
22621,2,14.0,0,3.0,3.0,66,62,4,96.0,2304.0,29.606232573258705,114.65436340211072,117.75116191221974,A. Davis - davisan02,4.450728894227582,1455
44891,3,16.0,0,3.0,3.0,90,87,3,36.0,432.0,29.606232573258705,114.65436340211072,117.75116191221974,A. Davis - davisan02,2.6735071316781034,1455
67161,4,27.0,0,3.0,3.0,115,119,-4,0.0,0.0,29.606232573258705,114.65436340211072,117.75116191221974,A. Davis - davisan02,4.707130105580037,1455
89432,0,0.0,0,3.0,3.0,0,0,0,0.0,0.0,32.098135144625935,115.22084474569726,120.2250677124782,A. Davis - davisan02,3.5686245418423312,1539
352,1,14.0,0,3.0,3.0,29,27,2,72.0,2592.0,32.098135144625935,115.22084474569726,120.2250677124782,A. Davis - davisan02,6.986558897599468,1539
22622,2,21.0,0,3.0,3.0,52,54,-2,48.0,1152.0,32.098135144625935,115.22084474569726,120.2250677124782,A. Davis - davisan02,7.452495968106018,1539
44892,3,26.0,0,3.0,3.0,89,87,2,24.0,288.0,32.098135144625935,115.22084474569726,120.2250677124782,A. Davis - davisan02,6.858958884185829,1539
67162,4,30.0,0,3.0,3.0,106,110,-4,0.0,0.0,32.098135144625935,115.22084474569726,120.2250677124782,A. Davis - davisan02,6.015953779041812,1539
